name:PP:power:accuracy:description:type
Attack Order:15:90:100:The user calls out its underlings to pummel the target. Critical hits land more easily.:Bug
Bug Bite:20:60:100:The user bites the target. If the target is holding a Berry, the user eats it and gains its effect.:Bug
Bug Buzz:10:90:100:The user generates a damaging sound wave by vibration. This may also lower the target's Sp. Def stat.:Bug
Defend Order:10:--:101:The user calls out its underlings to shield its body, raising its Defense and Sp. Def stats.:Bug
Fell Stinger:25:50:100:When the user knocks out a target with this move, the user's Attack stat rises drastically.:Bug
First Impression:10:90:100:Although this move has great power, it only works the first turn each time the user enters battle.:Bug
Fury Cutter:20:40:95:The target is slashed with scythes or claws. This attack becomes more powerful if it hits in succession.:Bug
G-Max Befuddle:10:--:101:A Bug-type attack that Gigantamax Butterfree use. This move inflicts the poisoned, paralyzed, or asleep status condition on opponents.:Bug
Heal Order:10:--:101:This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.:Bug
Infestation:20:20:100:The target is infested and attacked for four to five turns. The target can't flee during this time.:Bug
Leech Life:10:80:100:The user drains the target's blood. The user's HP is restored by half the damage taken by the target.:Bug
Lunge:15:80:100:The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat.:Bug
Max Flutterby:10:--:101:This is a Bug-type attack Dynamax Pokémon use. This lowers the target's Sp. Atk stat.:Bug
Megahorn:10:120:85:Using its tough and impressive horn, the user rams into the target with no letup.:Bug
Pin Missile:20:25:95:Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row.:Bug
Pollen Puff:15:90:100:The user attacks the enemy with a pollen puff that explodes. If the target is an ally, it gives the ally a pollen puff that restores its HP instead.:Bug
Powder:20:--:100:The user covers the target in a combustible powder. If the target uses a Fire-type move, the powder explodes and damages the target.:Bug
Quiver Dance:20:--:101:The user lightly performs a beautiful, mystic dance. This boosts the user's Sp. Atk, Sp. Def, and Speed stats.:Bug
Rage Powder:20:--:101:The user scatters a cloud of irritating powder to draw attention to itself. Opposing Pokémon aim only at the user.:Bug
Savage Spin-Out:1:--:101:This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.:Bug
Savage Spin-Out:1:--:101:This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.:Bug
Signal Beam:15:75:100:This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.:Bug
Silver Wind:5:60:100:This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.:Bug
Skitter Smack:10:70:90:The user skitters behind the target to attack. This also lowers the target's Sp. Atk stat.:Bug
Spider Web:10:--:101:This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.:Bug
Steamroller:20:65:100:This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.:Bug
Sticky Web:20:--:101:The user weaves a sticky net around the opposing team, which lowers their Speed stats upon switching into battle.:Bug
String Shot:40:--:95:Opposing Pokémon are bound with silk blown from the user's mouth that harshly lowers the Speed stat.:Bug
Struggle Bug:20:50:100:While resisting, the user attacks opposing Pokémon. This lowers the Sp. Atk stats of those hit.:Bug
Tail Glow:20:--:101:The user stares at flashing lights to focus its mind, drastically raising its Sp. Atk stat.:Bug
Twineedle:20:25:100:This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.:Bug
U-turn:20:70:100:After making its attack, the user rushes back to switch places with a party Pokémon in waiting.:Bug
X-Scissor:15:80:100:The user slashes at the target by crossing its scythes or claws as if they were a pair of scissors.:Bug
